flag_calib,flag_drop,flag_separation,flag_fin,top_lat,bottom_lat,top_lon,bottom_lon,top_hMSL,bottom_hMSL,top_altbaro,bottom_altbaro,top_gyrx,bottom_gyrx,top_gyry,bottom_gyry,top_gyrz,bottom_gyrz,sat_hRSSI,top_pression,top_temperature,distance_modules,bottom_pression,top_vspeed,bottom_vspeed,timeindex
1,0,0,0,43.2425117,43.2423897,-0.0396533,-0.0393094,510.9,403.2,0.83,0.59,-6.0,20.0,-40.0,-33.0,8.0,6.0,0.3,97243.4,37.5,4.6,97217.8,0.0,-0.0,1581
1,0,0,0,43.2425041,43.2423897,-0.0396517,-0.0393094,508.9,403.2,0.82,0.59,-6.0,20.0,-39.0,-33.0,8.0,6.0,0.3,97243.5,37.4,4.6,97217.8,-0.0,-0.0,1582
1,0,0,0,43.242485,43.2423897,-0.0395634,-0.0393096,523.5,403.3,0.83,0.6,-6.0,21.0,-40.0,-32.0,8.0,6.0,0.3,97243.4,37.5,31.0,97217.7,-0.0,-0.0,1583
1,0,0,0,43.242485,43.2423897,-0.0395634,-0.0393098,523.5,403.4,0.83,0.6,-6.0,20.0,-40.0,-33.0,8.0,6.0,0.3,97243.4,37.5,31.0,97217.7,-0.0,-0.1,1584
1,0,0,0,43.2424812,43.2423897,-0.0395134,-0.0393098,519.5,403.4,0.83,0.6,-5.0,20.0,-40.0,-33.0,9.0,6.0,0.3,97243.4,37.2,31.0,97217.7,-0.0,-0.1,1585
1,0,0,0,43.242485,43.2423897,-0.0394971,-0.0393098,516.3,403.5,0.83,0.6,-7.0,21.0,-39.0,-32.0,8.0,6.0,0.3,97243.4,37.3,19.4,97217.7,0.0,-0.0,1586
1,0,0,0,43.242485,43.2423897,-0.0394836,-0.0393098,512.4,403.5,0.82,0.6,-6.0,21.0,-39.0,-32.0,8.0,6.0,0.3,97243.5,37.9,19.4,97217.7,0.0,-0.0,1587
1,0,0,0,43.242485,43.2423897,-0.039469,-0.03931,508.7,403.7,0.83,0.61,-6.0,21.0,-40.0,-31.0,8.0,6.0,0.3,97243.3,37.2,18.5,97217.6,0.0,-0.1,1588
1,0,0,0,43.242485,43.2423897,-0.0394559,-0.0393102,505.3,403.7,0.83,0.61,-7.0,20.0,-39.0,-33.0,8.0,6.0,0.3,97243.3,37.2,18.5,97217.6,0.0,-0.1,1589
1,0,0,0,43.242485,43.2423897,-0.039469,-0.0393102,508.7,403.7,0.83,0.61,-6.0,20.0,-40.0,-33.0,8.0,6.0,0.3,97243.3,37.2,18.5,97217.6,0.0,-0.1,1590
1,0,0,0,43.242485,43.2423897,-0.0394318,-0.0393104,499.0,403.9,0.84,0.58,-7.0,20.0,-40.0,-33.0,8.0,6.0,0.3,97243.3,37.3,15.9,97217.9,0.0,-0.1,1591
1,0,0,0,43.242485,43.2423897,-0.0394117,-0.0393104,493.6,404.0,0.82,0.58,-6.0,19.0,-38.0,-33.0,5.0,7.0,0.3,97243.5,37.5,15.9,97217.9,0.0,-0.1,1592
1,0,0,0,43.242485,43.2423897,-0.0394117,-0.0393104,493.6,404.0,0.82,0.58,-6.0,19.0,-38.0,-33.0,5.0,7.0,0.3,97243.5,37.5,15.9,97217.9,0.0,-0.1,1593
1,0,0,0,43.242485,43.2423897,-0.0393945,-0.0393106,489.2,404.2,0.84,0.59,-6.0,21.0,-39.0,-33.0,9.0,6.0,0.3,97243.3,37.2,13.4,97217.8,0.1,-0.1,1594
1,0,0,0,43.242485,43.2423897,-0.0393945,-0.0393106,489.2,404.2,0.84,0.59,-6.0,21.0,-39.0,-33.0,9.0,6.0,0.3,97243.3,37.2,13.4,97217.8,0.1,-0.1,1595
1,0,0,0,43.242485,43.2423935,-0.0393869,-0.0393108,487.2,404.3,0.84,0.59,-6.0,21.0,-39.0,-33.0,5.0,5.0,0.3,97243.3,37.3,12.7,97217.8,0.1,-0.1,1596
1,0,0,0,43.242485,43.2423935,-0.0393778,-0.0393109,485.3,404.4,0.82,0.6,-6.0,21.0,-40.0,-33.0,9.0,6.0,0.3,97243.5,38.0,12.7,97217.7,0.1,-0.1,1597
1,0,0,0,43.242485,43.2423935,-0.0393743,-0.0393109,483.8,404.4,0.82,0.6,-6.0,21.0,-39.0,-33.0,7.0,6.0,0.3,97243.5,37.7,12.7,97217.7,0.1,-0.1,1598
1,0,0,0,43.242485,43.2423935,-0.0393684,-0.039311,482.0,404.5,0.82,0.61,-6.0,20.0,-39.0,-33.0,7.0,6.0,0.3,97243.5,37.7,12.0,97217.5,0.1,-0.1,1599
1,0,0,0,43.242485,43.2423935,-0.0393643,-0.0393113,480.2,404.8,0.83,0.6,-6.0,20.0,-39.0,-33.0,7.0,6.0,0.3,97243.4,37.5,11.5,97217.7,0.0,-0.1,1600
1,0,0,0,43.242485,43.2423935,-0.0393612,-0.0393116,478.7,404.9,0.83,0.6,-6.0,21.0,-40.0,-32.0,9.0,6.0,0.3,97243.4,37.2,11.1,97217.7,0.1,-0.0,1601
1,0,0,0,43.242485,43.2423935,-0.0393571,-0.0393116,477.0,404.9,0.83,0.6,-6.0,21.0,-40.0,-32.0,7.0,6.0,0.3,97243.4,37.0,11.1,97217.7,0.1,-0.0,1602
1,0,0,0,43.242485,43.2423935,-0.0393545,-0.0393121,475.4,405.3,0.81,0.61,-6.0,20.0,-39.0,-33.0,8.0,6.0,0.3,97243.6,38.1,11.1,97217.6,0.1,-0.0,1603
